Year,Month,Rainfall,Lag1Rainfall,Lag2Rainfall,RH,MaxT,MinT,AvgT,Lag1AvgT,Lag2AvgT,DC,DD,DC1,GF,GFlog,Gfexp,RY,,,,,DCY,DDY,,,
2006,1,0,0.4,3,69.41532258,25.3,13.5,19.4,21.4,24.45,0,0,1,1,0,1,1968.8,,,,,2200,11,,,
2006,2,0,0,0.4,65.69196429,31.3,19.4,25.35,19.4,21.4,0,0,1,1,0,1,,,,,,,,,,
2006,3,0,0,0,54.33870968,33.2,21.9,27.55,25.35,19.4,0,0,1,1,0,1,,,,,,,,,,
2006,4,185.1,0,0,68.32916667,33.7,23.8,28.75,27.55,25.35,0,0,1,1,0,1,,,,,,,,,,
2006,5,208.4,185.1,0,73.12096774,33.8,25,29.4,28.75,27.55,0,0,1,101,2.004321374,7.421056066,,,,,,,,,,
2006,6,321.4,208.4,185.1,82.00416667,32.4,26.1,29.25,29.4,28.75,100,1,101,9.633663366,0.983791466,2.674577612,,,,,,,,,,
2006,7,328.9,321.4,208.4,80.43548387,32.4,26.7,29.55,29.25,29.4,972,1,973,0.699897225,-0.154965728,0.856444529,,,,,,,,,,
2006,8,174.6,328.9,321.4,77.68145161,32.5,26.5,29.5,29.55,29.25,680,1,681,0.311306902,-0.506811251,0.602413465,,,,,,,,,,
2006,9,656.3,174.6,328.9,81.17916667,31.9,25.8,28.85,29.5,29.55,211,6,212,0.688679245,-0.161983005,0.850455658,,,,,,,,,,
2006,10,88.8,656.3,174.6,76.66129032,32.3,24.7,28.5,28.85,29.5,145,1,146,0.636986301,-0.195869907,0.82211918,,,,,,,,,,
2006,11,5.3,88.8,656.3,68.7,29.7,19.9,24.8,28.5,28.85,92,1,93,0.010752688,-1.968482949,0.13966858,,,,,,,,,,
2006,12,0,5.3,88.8,69.65322581,26.9,15.8,21.35,24.8,28.5,0,0,1,1,0,1,,,,,,,,,,
2007,1,0,0,5.3,68.48790323,24.6,12.5,18.55,21.35,24.8,0,0,1,1,0,1,3039.7,,,,,466,0,,,
2007,2,29.6,0,0,69.47321429,27.1,16.8,21.95,18.55,21.35,0,0,1,1,0,1,,,,,,,,,,
2007,3,9.9,29.6,0,55.0766129,31.5,19.6,25.55,21.95,18.55,0,0,1,1,0,1,,,,,,,,,,
2007,4,172.3,9.9,29.6,70.01666667,33.7,23.7,28.7,25.55,21.95,0,0,1,1,0,1,,,,,,,,,,
2007,5,313.1,172.3,9.9,71.34274194,34.8,25.9,30.35,28.7,25.55,0,0,1,1,0,1,,,,,,,,,,
2007,6,631.4,313.1,172.3,81.47916667,32.5,25.5,29,30.35,28.7,0,0,1,86,1.934498451,6.920572179,,,,,,,,,,
2007,7,818.5,631.4,313.1,84.94758065,31.5,25.8,28.65,29,30.35,85,0,86,2.093023256,0.320774054,1.378194148,,,,,,,,,,
2007,8,471.2,818.5,631.4,80.75,32.5,26.4,29.45,28.65,29,179,0,180,0.911111111,-0.040428657,0.960377678,,,,,,,,,,
2007,9,177.6,471.2,818.5,80.51666667,32,26.5,29.25,29.45,28.65,163,0,164,0.243902439,-0.612783857,0.541840361,,,,,,,,,,
2007,10,317.8,177.6,471.2,78.77822581,31.5,23.8,27.65,29.25,29.45,39,0,40,0.025,-1.602059991,0.201481041,,,,,,,,,,
2007,11,98.3,317.8,177.6,78.03333333,29,19.9,24.45,27.65,29.25,0,0,1,1,0,1,,,,,,,,,,
2007,12,0,98.3,317.8,70.33870968,25.8,15,20.4,24.45,27.65,0,0,1,1,0,1,,,,,,,,,,
2008,1,22.7,0,98.3,70.22177419,24.5,14.5,19.5,20.4,24.45,0,0,1,1,0,1,2129.9,,,,,1151,0,,,
2008,2,55.7,22.7,0,62.15517241,26.1,15.2,20.65,19.5,20.4,0,0,1,1,0,1,,,,,,,,,,
2008,3,21.8,55.7,22.7,67.69758065,31.7,22,26.85,20.65,19.5,0,0,1,1,0,1,,,,,,,,,,
2008,4,91.4,21.8,55.7,65,34.5,24.5,29.5,26.85,20.65,0,0,1,1,0,1,,,,,,,,,,
2008,5,203.7,91.4,21.8,71.14516129,34.7,24.9,29.8,29.5,26.85,0,0,1,161,2.206825876,9.086827851,,,,,,,,,,
2008,6,415.2,203.7,91.4,80.9,32.5,26.3,29.4,29.8,29.5,160,0,161,2.956521739,0.470781077,1.6012444,,,,,,,,,,
2008,7,483.3,415.2,203.7,83.60887097,31.8,26.3,29.05,29.4,29.8,473,0,476,0.703781513,-0.152562146,0.85850554,,,,,,,,,,
2008,8,314.3,483.3,415.2,82.21774194,32.1,26.5,29.3,29.05,29.4,334,0,335,0.552238806,-0.257873079,0.772693297,,,,,,,,,,
2008,9,275.1,314.3,483.3,81.42083333,32.6,26.2,29.4,29.3,29.05,184,0,185,0.005405405,-2.267171728,0.103604789,,,,,,,,,,
2008,10,246.7,275.1,314.3,78.28629032,31.4,23.8,27.6,29.4,29.3,0,0,1,1,0,1,,,,,,,,,,
2008,11,0,246.7,275.1,69.9375,29.7,19,24.35,27.6,29.4,0,0,1,1,0,1,,,,,,,,,,
2008,12,0,0,246.7,79.76209677,25.6,16.9,21.25,24.35,27.6,0,0,1,1,0,1,,,,,,,,,,
2009,1,0,0,0,72.83467742,25.9,14.8,20.35,21.25,24.35,0,0,1,1,0,1,1930.5,,,,,472,0,,,
2009,2,1,0,0,55.4375,29.7,17.2,23.45,20.35,21.25,0,0,1,1,0,1,,,,,,,,,,
2009,3,48.5,1,0,53.84274194,33.3,21.4,27.35,23.45,20.35,0,0,1,1,0,1,,,,,,,,,,
2009,4,12.5,48.5,1,66.90833333,35.6,25.9,30.75,27.35,23.45,0,0,1,2,0.301029996,1.351249873,,,,,,,,,,
2009,5,168.3,12.5,48.5,72.66935484,34.6,25.2,29.9,30.75,27.35,1,0,2,0.5,-0.301029996,0.740055574,,,,,,,,,,
2009,6,203.2,168.3,12.5,75.16666667,34.5,26.7,30.6,29.9,30.75,0,0,1,5,0.698970004,2.011679618,,,,,,,,,,
2009,7,647.1,203.2,168.3,80.39919355,32.3,26.7,29.5,30.6,29.9,4,0,5,25.6,1.408239965,4.08875272,,,,,,,,,,
2009,8,475.5,647.1,203.2,82.6733871,32.5,26.3,29.4,29.5,30.6,125,0,128,1.4765625,0.169251835,1.184418379,,,,,,,,,,
2009,9,296.3,475.5,647.1,81.67916667,32.5,26.3,29.4,29.4,29.5,188,0,189,0.82010582,-0.086130106,0.917474854,,,,,,,,,,
2009,10,74.2,296.3,475.5,73.47580645,32.2,24.2,28.2,29.4,29.4,154,0,155,0.006451613,-2.190331698,0.111879632,,,,,,,,,,
2009,11,3.9,74.2,296.3,67.00416667,30.2,20.2,25.2,28.2,29.4,0,0,1,1,0,1,,,,,,,,,,
2009,12,0,3.9,74.2,70.11693548,26,15.4,20.7,25.2,28.2,0,0,1,1,0,1,,,,,,,,,,
2010,1,0,0,3.9,72.20564516,23.8,12.8,18.3,20.7,25.2,0,0,1,1,0,1,1518.3,,,,,409,0,,,
2010,2,47.9,0,0,57.35267857,28.9,16.2,22.55,18.3,20.7,0,0,1,1,0,1,,,,,,,,,,
2010,3,22.4,47.9,0,59.72580645,34.1,23.3,28.7,22.55,18.3,0,0,1,1,0,1,,,,,,,,,,
